old_code,new_code,description,country,extent,sample_size,sample_time,access,source,redistribution,license,version_source,version_processed,spectral_range,contact,contact_email,url,relevant_publication_1,relevant_publication_2,relevant_publication_3,map_url
KSSL,KSSL,The USDA-NRCS NCSS Kellogg Soil Survey Laboratory (KSSL) soil libraries from the United States and other territories,USA,national,"80,000+",,open,"DOI, internal",open,Other (Custom),snapshot Jul 2022,"v1.2, v1.3","vnir, mir",Scarlett Murphy,Scarlett.Murphy@usda.gov,https://ncsslabdatamart.sc.egov.usda.gov/,https://doi.org/10.2136/sssaj2017.10.0361,https://doi.org/10.2136/sssaj2016.02.0052,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/KSSL/README_files/figure-commonmark/map-1.png
ICRAF_ISRIC,ICRAF_ISRIC,Soil spectral libraries from the ISRIC World Soil Reference Collection (58 countries) scanned by ICRAF,"Africa, Europe, South America, North America, and Asia",global,"4,000+",,open,DOI,open,CC-BY,first release (v1),"v1.2, v1.3","vnir, mir",ISRIC - World Soil Information,afsis.info@africasoils.net,https://data.isric.org/geonetwork/srv/eng/catalog.search#/metadata/1b65024a-cd9f-11e9-a8f9-a0481ca9e724,https://doi.org/10.2136/sssaj2002.9880,https://doi.org/10.2136/sssaj2009.0218,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/ICRAF_ISRIC/README_files/figure-commonmark/map-1.png
LUCAS,LUCAS,Land Use and Cover Survey (LUCAS) library from European soils (23-28 countries),European Union,continental,"20,000+",,open,DOI,restricted,Other (Custom) with redistribution permission upon spatial anonymization,"2009, 2012, 2015","v1.2, v1.3","vnir, mir",European Soil Data Centre (ESDAC),panos.panagos@ec.europa.eu,https://esdac.jrc.ec.europa.eu/resource-type/soil-point-data,https://doi.org/10.1111/ejss.12499,https://doi.org/10.1371/journal.pone.0066409,http://dx.doi.org/10.1016/j.soilbio.2013.10.022,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/LUCAS/README_files/figure-commonmark/map-1.png
AFSIS,AFSIS1,Soil spectral library from Africa Soil Information Service Phase I (AFSIS1),Africa,continental,"1,000+",,open,DOI,open,CC-BY,first release (v1),"v1.2, v1.3",mir,Keith Shepherd,afsis.info@africasoils.net,https://data.worldagroforestry.org/dataset.xhtml?persistentId=doi:10.34725/DVN/QXCWP1,https://doi.org/10.1016/j.geoderma.2015.06.023,https://doi.org/10.1016/j.geodrs.2015.06.002,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/AFSIS1/README_files/figure-commonmark/map-1.png
AFSIS2,AFSIS2,Soil spectral library from Africa Soil Information Service Phase II (AFSIS2),Africa,continental,"<1,000",,open,DOI,open,CC-BY,first release (v1),"v1.2, v1.3",mir,Leigh Ann Winowiecki,L.A.WINOWIECKI@cifor-icraf.org,https://data.worldagroforestry.org/dataset.xhtml?persistentId=doi:10.34725/DVN/XUDGJY,https://doi.org/10.1038/s41598-021-85639-y,https://doi.org/10.5194/soil-4-259-2018,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/AFSIS2/README_files/figure-commonmark/map-1.png
CAF,CAF,Soil spectral library for Central Africa (CAF),Africa,regional,"1,000+",,open,DOI,open,CC-BY,first release (v1),"v1.2, v1.3",mir,Laura Summerauer,laura.summerauer@usys.ethz.ch,https://doi.org/10.5281/zenodo.6786666,https://doi.org/10.5194/soil-7-693-2021,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/CAF/README_files/figure-commonmark/map-1.png
NEON,NEON,National Ecological Observatory Network (NEON) soil spectral library,United States,national,<300,,open,DOI,open,CC-BY,first release (v1),"v1.2, v1.3",mir,Jonathan Sanderman,jsanderman@woodwellclimate.org,https://www.neonscience.org/samples/soil-archive,https://doi.org/10.3390/s20236729,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/NEON/README_files/figure-commonmark/map-1.png
Schiedung,HLF_CAN,Soil spectral library from High-Latitude Forests of North Canada (HLF_CAN),Canada,local,<300,,open,DOI,open,CC-BY,first release (v1),"v1.2, v1.3",mir,Marcus Schiedung,marcus.schiedung@geo.uzh.ch,https://zenodo.org/records/10609291,https://doi.org/10.1016/j.catena.2022.106194,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/HLF_CAN/README_files/figure-commonmark/map-1.png
Garrett,PF_NZL,Soil spectral library from Planted Forest soils of New Zealand (PF_NZL),New Zealand,national,"<1,000",,open,DOI,open,CC-BY,first release (v1),"v1.2, v1.3",mir,Loretta Garrett,loretta.garrett@scionresearch.com,https://doi.org/10.6084/m9.figshare.20506587.v2,https://doi.org/10.1016/j.tfp.2022.100280;,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/PF_NZL/README_files/figure-commonmark/map-1.png
Serbia,SRB,Soil spectral library from Serbia (SRB),Serbia,national,<300,,restricted,internal,open,Agreement,first release (v1),"v1.2, v1.3",mir,Branislav Jović,branislav.jovic@dh.uns.ac.rs,https://doi.org/10.1016/j.saa.2018.08.039,https://doi.org/10.1016/j.saa.2018.08.039,NA,NA,https://raw.githubusercontent.com/soilspectroscopy/ossl-imports/main/dataset/SRB/README_files/figure-commonmark/map-1.png
