old_code,new_code,description,access,source,redistribution,license,version_source,version_processed,extent,spectral_range,contact,contact_email,url_address,relevant_publications,
KSSL,KSSL,MIR and VisNIR soil spectral libraries primarily from the United States,open,internal,open,CC-BY,snapshot Jul 2022,v1.2,national,"vnir, mir",Scarlett Murphy,Scarlett.Murphy@usda.gov,https://ncsslabdatamart.sc.egov.usda.gov/,https://acsess.onlinelibrary.wiley.com/doi/full/10.2136/sssaj2016.02.0052,
ICRAF_ISRIC,ICRAF_ISRIC,MIR and VisNIR from the ISRIC World Soil Reference Collection (58 countries),open,DOI,open,CC-BY,first release (v1),v1.2,global,"vnir, mir",SRIC - World Soil Information,afsis.info@africasoils.net,https://data.isric.org/geonetwork/srv/eng/catalog.search#/metadata/1b65024a-cd9f-11e9-a8f9-a0481ca9e724,,
LUCAS,LUCAS,"VisNIR of some 19,860 in 2009 (2012) and 21,859 points in 2015",open,DOI,restricted,JRC,"2009, 2012, 2015",v1.2,continental,vnir,European Commission,,https://esdac.jrc.ec.europa.eu/resource-type/soil-point-data,,
AFSIS,AFSIS1,MIR from Africa Soil Information Service (AfSIS) Phase I 2009-2013,open,DOI,open,CC-BY,first release (v1),v1.2,continental,mir,Keith Shepherd,afsis.info@africasoils.net,https://data.worldagroforestry.org/dataset.xhtml?persistentId=doi:10.34725/DVN/QXCWP1,,
AFSIS2,AFSIS2,MIR from Africa Soil Information Service (AfSIS) Phase I 2009-2013,open,DOI,open,CC-BY,first release (v1),v1.2,continental,mir,"Winowiecki, Leigh Ann",L.A.WINOWIECKI@cgiar.org,https://data.worldagroforestry.org/dataset.xhtml?persistentId=doi:10.34725/DVN/XUDGJY,,
CAF,CAF,MIR Central African Soil Spectral Library,open,DOI,open,CC-BY,first release (v1),v1.2,regional,mir,Laura Summerauer,laura.summerauer@usys.ethz.ch,https://soil.copernicus.org/articles/7/693/2021/,,
NEON,NEON,MIR National Ecological Observatory Network (NEON) Soil Spectral Library,open,DOI,open,CC-BY,first release (v1),v1.2,national,mir,,,,,
Schiedung,NorthCanada,MIR soil spectral library from high latitude forest soils of Canada,open,DOI,open,CC-BY,first release (v1),v1.2,local,mir,Marcus Schiedung,marcus.schiedung@geo.uzh.ch,https://zenodo.org/records/10609291,,new version available
Garrett,NewZealand_Forest,MIR soil spectral library from forest soils of New Zealand,open,DOI,open,CC-BY,first release (v1),v1.2,regional,mir,Loretta Garrett,loretta.garrett@scionresearch.com,https://doi.org/10.6084/m9.figshare.20506587.v2,,
Serbia,Serbia,MIR soil spectral library from Serbia,restricted,internal,open,agreement,first release (v1),v1.2,national,mir,Branislav Jović,branislav.jovic@dh.uns.ac.rs,https://doi.org/10.1016/j.saa.2018.08.039,,
Neospectra,Neospectra,NIR soil spectral library from selected KSSL samples (USA) and Africa,open,DOI,open,CC-BY,second update (v1),v1.2,national,nir,,,,,
BESB,BESB,MIR and VisNIR soil spectral libraries from Brazil. 1995-2019,open,DOI,open,CC-BY,version v.002,,national,"vnir, mir",José A.M. Demattê,jamdemat@usp.br,https://zenodo.org/records/8361419,,
Hungrian,Hungarian,VisNIR soil spectral library from Hungarian Soil Degradation Observation System (HSDOS). 2011,open,DOI,open,CC-BY,version v3,,national,vnir,"Mészáros, János",koos.sandor@atk.hun-ren.hu,https://zenodo.org/records/14610222,,
Austrian,Austrian,NIR soil spectral library from all environmental zones of Austria. 1998-2023,open,DOI,open,CC-BY,version v4,,national,nir,"Julia, Fohrafellner",julia.fohrafellner@ages.at,https://zenodo.org/records/17941270,,
GEMAS,GEMAS,MIR soil spectral library from the Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS). 2008-2009,open,DOI,open,CC-BY,first release (v1),,continental,mir,Federal Institute for Geosciences and Natural Resources,gemas@bgr.de,https://gemas.eurogeosurveys.org/,,
Geocradle,Geocradle,"VisNIR soil spectral library from the Geocradle region (Balkans, Middle East, and North Africa). 2017",open,DOI,open,ODbL,first release (v1),,regional,vnir,Nikos Tsakiridis,tsakirin@auth.gr,http://datahub.geocradle.eu/dataset/regional-soil-spectral-library,,
Martinique,Martinique,NIR soil spectral library from rural areas of the Martinique island. 2004-2005,open,DOI,open,CC-BY,version 3.1,,national,nir,Aurélie Cambou,aurelie.cambou@ird.fr,https://dataverse.ird.fr/dataset.xhtml?persistentId=doi:10.23708/C2TV6W,,
TropicalFarm,Brazilian_Agricultural,VisNIR soil spectral library from Brazilian agricultural areas. ,open,DOI,open,CC-BY,version 3,,local,vnir,Tiago Rodrigues Tavares,tiagosrt@usp.br,https://data.mendeley.com/datasets/88c5kvmgbf/1,,
Korean,Korean,NIR soil spectral library from Korean. 2024,open,DOI,open,CC-BY,version 3,,national,nir,Gayoung Yoo,gayoo@khu.ac.kr,https://doi.org/10.6084/m9.figshare.29380574,,
South-India,South_India,"MIR spectral library from small-scale tropical, sub-humid and semi-arid watersheds under shrubland and dry deciduous forest in Southwestern India. ",open,DOI,open,CC-BY,version 1,,regional,mir,Samuel Abiven,abiven@biotite.ens.fr,https://zenodo.org/records/5675793,,
