dataset_code,ossl_file,public_url
AFSIS1,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS1/ossl_mir_v1.3.csv.gz
AFSIS1,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS1/ossl_mir_v1.3.parquet
AFSIS1,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS1/ossl_soillab_v1.3.csv.gz
AFSIS1,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS1/ossl_soillab_v1.3.parquet
AFSIS1,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS1/ossl_soilsite_v1.3.csv.gz
AFSIS1,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS1/ossl_soilsite_v1.3.parquet
AFSIS2,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS2/ossl_mir_v1.3.csv.gz
AFSIS2,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS2/ossl_mir_v1.3.parquet
AFSIS2,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS2/ossl_soillab_v1.3.csv.gz
AFSIS2,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS2/ossl_soillab_v1.3.parquet
AFSIS2,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS2/ossl_soilsite_v1.3.csv.gz
AFSIS2,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/AFSIS2/ossl_soilsite_v1.3.parquet
AUT,ossl_nir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/AUT/ossl_nir_v1.3.csv.gz
