analyte,ossl_name_level0,ossl_abbrev_level0,ossl_method_level0,ossl_unit_level0,target_name,target_method,target_unit,ossl_level1_transform,ossl_name_level1,include
OSSL dataset code,dataset.code_ascii_txt,dataset.code,ascii,txt,dataset.code,ascii,txt,x,dataset.code_ascii_txt,TRUE
OSSL unique identifier,id.layer_uuid_txt,id.layer,uuid,txt,id.layer,uuid,txt,x,id.layer_uuid_txt,TRUE
"Acidity, BaCl2-TEA Extractable, pH 8.2",acidity_usda.a795_cmolc.kg,acidity,usda.a795,cmolc.kg,acidity,usda.a795,cmolc.kg,x,acidity_usda.a795_cmolc.kg,TRUE
Aggregate Stability,aggstb_usda.a1_w.pct,aggstb,usda.a1,w.pct,aggstb,usda.a1,w.pct,x,aggstb_usda.a1_w.pct,TRUE
"Aluminum, Crystalline, Total Pedogenic Iron",al.dith_usda.a65_w.pct,al.dith,usda.a65,w.pct,al.dith,usda.a65,w.pct,x,al.dith_usda.a65_w.pct,TRUE
"Aluminum, Extractable, Aqua Regia",al.ext_aquaregia_g.kg,al.ext,aquaregia,g.kg,al.ext,aquaregia,g.kg,x,al.ext_aquaregia_g.kg,TRUE
"Aluminum, Extractable, Mehlich3",al.ext_usda.a1056_mg.kg,al.ext,usda.a1056,mg.kg,al.ext,usda.a1056,mg.kg,x,al.ext_usda.a1056_mg.kg,TRUE
"Aluminum, Extractable, KCl",al.ext_usda.a69_cmolc.kg,al.ext,usda.a69,cmolc.kg,al.ext,usda.a69,cmolc.kg,x,al.ext_usda.a69_cmolc.kg,TRUE
"Aluminum, Amorphous, Total Non-Crystalline Iron",al.ox_usda.a59_w.pct,al.ox,usda.a59,w.pct,al.ox,usda.a59,w.pct,x,al.ox_usda.a59_w.pct,TRUE
"Available Water Content, Difference 33-1500 kPa",awc.33.1500kPa_usda.c80_w.frac,awc.33.1500kPa,usda.c80,w.frac,awc.33.1500kPa,usda.c80,w.frac,x,awc.33.1500kPa_usda.c80_w.frac,TRUE
"Boron, Extractable, Mehlich3",b.ext_mel3_mg.kg,b.ext,mel3,mg.kg,b.ext,mel3,mg.kg,x,b.ext_mel3_mg.kg,TRUE
"Bulk Density, iso 11272",bd_iso.11272_g.cm3,bd,iso.11272,g.cm3,bd,usda.a4,g.cm3,x,bd_usda.a4_g.cm3,TRUE
"Bulk Density, <2 mm fraction, Core",bd_usda.a21_g.cm3,bd,usda.a21,g.cm3,bd,usda.a4,g.cm3,x,bd_usda.a4_g.cm3,TRUE
"Bulk Density, <2mm fraction, Clod",bd_usda.a4_g.cm3,bd,usda.a4,g.cm3,bd,usda.a4,g.cm3,x,bd_usda.a4_g.cm3,TRUE
"Carbon, Total NCS, iso 10694",c.tot_iso.10694_w.pct,c.tot,iso.10694,w.pct,c.tot,usda.a622,w.pct,x,c.tot_usda.a622_w.pct,TRUE
