Answers_ID,value,label,explanation
FAO_AID:P6T,1,Reference profile description,"No essential elements or details are missing from the description, sampling or analysis. The accuracy and reliability of the description and analytical results permit the full characterization of all soil horizons to a depth of 125 cm, or more if required for classification, or down to a C or R horizon or layer, which may be shallower."
FAO_AID:P6T,2,Routine profile description,"No essential elements are missing from the description, sampling or analysis. The number of samples collected is sufficient to characterize all major soil horizons, but may not allow precise definition of all subhorizons, especially in the deeper soil. The profile depth is 80 cm or more, or down to a C or R horizon or layer, which may be shallower. Additional augering and sampling may be required for lower level classification."
FAO_AID:P6T,3,Incomplete description,"Certain relevant elements are missing from the description, an insufficient number of samples was collected, or the reliability of the analytical data does not permit a complete characterization of the soil. However, the description is useful for specific purposes and provides a satisfactory indication of the nature of the soil at high levels of soil taxonomic classification."
FAO_AID:P6T,4,Soil augering description,"Soil augerings do no permit a comprehensive soil profile description. Augerings are made for routine soil observation and identification in soil mapping, and for that purpose normally provide a satisfactory indication of the soil characteristics. Soil samples may be collected from augerings."
FAO_AID:P6T,5,Other descriptions,"Essential elements are missing from the description, preventing a satisfactory soil characterization and classification."
FAO_AID:P6T,6,TESTING ONLY,For testing purposes only. Do not use for any analysis.
FAO_AID:783,ODbL,Open Data Commons Open Database License (ODbL),
FAO_AID:783,CC-SA,Creative Commons Attribution-ShareAlike license (CC BY-SA),
FAO_AID:783,CC,Creative Commons - Attribution (CC-BY),
FAO_AID:783,PW,Private work (unpublished),
FAO_AID:785,A1,Allow username,
FAO_AID:785,A2,Allow e-mail,
FAO_AID:787,A1,All,
FAO_AID:787,A2,Approved only,
FAO_AID:787,A3,None,
FAO_AID:P10T3R,AQ,Aquic,"The aquic (Latin aqua, water) moisture regime is a reducing regime in a soil that is virtually free of dissolved oxygen because it is saturated by water. Some soils are saturated with water at times while dissolved oxygen is present, either because the water is moving or because the environment is unfavourable for micro-organisms (e.g. where the temperature is less than 1 °C); such a regime is not considered aquic."
FAO_AID:P10T3R,PQ,Peraquic,"Very commonly, the level of groundwater fluctuates with the seasons. However, there are soils in which the groundwater is always at or very close to the surface. Examples are soils in tidal marshes or in closed, landlocked depressions fed by perennial streams. Such soils are considered to have a peraquic moisture regime."
FAO_AID:P10T3R,DU,Udic,"The udic (Latin udus, humid) moisture regime is one in which the soil moisture control section is not dry in any part for as long as 90 cumulative days in normal years. Where the mean annual soil temperature is lower than 22 °C and where the mean winter and mean summer soil temperatures at depth of 50 cm from the soil surface differ by 6 °C or more, the soil moisture control section in normal years is dry in all parts for less than 45 consecutive in the 4 months following the summer solstice. In addition, the udic moisture regime requires, except for short periods, a three-phase system, solid–liquid–gas, in part or all of the soil moisture control section when the soil temperature is above 5 °C."
FAO_AID:P10T3R,PU,Perudic,"In climates where precipitation exceeds evapotranspiration in all months of normal years, the moisture tension rarely reaches 100 kPa (pF 3) in the soil moisture control section, although there are occasional brief periods when some stored moisture is used. The water moves through the soil in all months when it is not frozen. Such an extremely wet moisture regime is called perudic."
FAO_AID:P10T3R,US,Ustic,"The ustic (Latin ustus, burnt; implying dryness) moisture regime is intermediate between the aridic regime and the udic regime. Its concept is one of moisture that is limited but is present at a time when conditions are suitable for plant growth. The concept  f the ustic moisture regime is not applied to soils that have permafrost or a cryic soil temperature regime (defined above)."
FAO_AID:P10T3R,XE,Xeric,"The xeric (Greek xeros, dry) moisture regime is the typical moisture regime in areas of Mediterranean climates, where winters are moist and cool and summers are warm and dry. The moisture, which falls during the winter, when potential evapotranspiration is at a minimum, is particularly effective for leaching."
