ossl_name,type,example,description
id.layer_uuid_txt,string,8585028b0344511c951fc0298b5ab3a8,OSSL unique identifier
id.scan_local_c,string,icr021044,Original scan identifier
scan.mir.date.begin_iso.8601_yyyy.mm.dd,numeric,2009-01-01,Begin date of scanning following YYYY-MM-DD format (ISO 8601)
scan.mir.date.end_iso.8601_yyyy.mm.dd,numeric,2013-12-31,Begin date of scanning following YYYY-MM-DD format (ISO 8601)
scan.mir.model.name_utf8_txt,string,Bruker Tensor 27 with HTS-XT accessory,"MIR instrument manufacturer, model and accessory (if any)"
scan.mir.model.code_any_txt,string,Bruker_Tensor_27.HTS.XT,MIR instrument coding
scan.mir.method.optics_any_txt,string,KBr beamsplitter; DTGS detector,Metadata information related to instrument optics and measurements
scan.mir.method.preparation_any_txt,string,Finely ground <80 mesh,Soil sample preparation before scanning
scan.mir.license.title_ascii_txt,string,CC-BY,Dataset scans license
scan.mir.license.address_idn_url,string,https://creativecommons.org/licenses/by/4.0/,Dataset scans license url
scan.mir.doi_idf_url,string,https://doi.org/10.34725/DVN/QXCWP1,Digital object identifier (DOI) url of the dataset scans
scan.mir.contact.name_utf8_txt,string,"Vagen, Tor-Gunnar (World Agroforestry)",Dataset scans contact name
scan.mir.contact.email_ietf_txt,string,afsis.info@africasoils.net,Dataset scans contact email
scan_mir.600_abs,numeric,1.38812,"Absorbance in log10 unit, first wavenumber in the 600-4000 cm-1 range"
scan_mir.4000_abs,numeric,0.2452604,"Absorbance in log10 unit, last wavenumber in the 600-4000 cm-1 range"
