ossl_name,ossl_abbrev,ossl_method,ossl_unit,type,example,analyte,unit_description,description
dataset.code_ascii_txt,dataset.code,ascii,txt,string,AFSIS1.SSL,OSSL dataset code,text,Dataset code used for internal reference
id.layer_uuid_txt,id.layer,uuid,txt,string,ded584d70bf0474202d30e575ae24784,OSSL unique identifier,text,Unique identifier
acidity_usda.a795_cmolc.kg,acidity,usda.a795,cmolc.kg,numeric,0.40000,"Acidity, BaCl2-TEA Extractable, pH 8.2",centimoles of charge per kilogram of soil,"Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH"
aggstb_usda.a1_w.pct,aggstb,usda.a1,w.pct,numeric,74,Aggregate Stability,weight percent,Aggregate stability is the weight percent of 0.5 mm - 2 mm aggregates remaining after wet sieving.
al.dith_usda.a65_w.pct,al.dith,usda.a65,w.pct,numeric,0.13652,"Aluminum, Crystalline, Total Pedogenic Iron",weight percent,Dithionite citrate extractable aluminum is an indicator of the amount of aluminum substituted for iron in iron oxides.
al.ext_aquaregia_g.kg,al.ext,aquaregia,g.kg,numeric,42.9620831,"Aluminum, Extractable, Aqua Regia",grams per kilogram of soil,Exchangeable Al.
al.ext_usda.a1056_mg.kg,al.ext,usda.a1056,mg.kg,numeric,1270.00000,"Aluminum, Extractable, Mehlich3",miligrams per kilogram of soil,Exchangeable Al.
al.ext_usda.a69_cmolc.kg,al.ext,usda.a69,cmolc.kg,numeric,0.20000,"Aluminum, Extractable, KCl",centimoles of charge per kilogram of soil,Exchangeable Al.
al.ox_usda.a59_w.pct,al.ox,usda.a59,w.pct,numeric,0.12951,"Aluminum, Amorphous, Total Non-Crystalline Iron",weight percent,"Ammonium oxalate extractable aluminum is an estimate of the total pedogenic Al, much of which may be in noncrystalline materials or complexed by organic matter."
awc.33.1500kPa_usda.c80_w.frac,awc.33.1500kPa,usda.c80,w.frac,numeric,0.08658,"Available Water Content, Difference 33-1500 kPa",weight fraction,The amount (fraction) of water released between 1/3 (33 kPa) and 15 (1500 kPa) bar tensions determined as gravimetric percent.
b.ext_mel3_mg.kg,b.ext,mel3,mg.kg,numeric,0.00100000,"Boron, Extractable, Mehlich3",miligrams per kilogram of soil,Plant available B.
