ossl_name,type,example,description
dataset.code_ascii_txt,string,AFSIS1.SSL,OSSL dataset code
id.layer_uuid_txt,string,ded584d70bf0474202d30e575ae24784,OSSL unique identifier
id.layer_local_c,string,icr072246,Original observation identifier
longitude.point_wgs84_dd,numeric,15.6874916700,"Longitude in decimal degrees (WGS84, EPSG 4326)"
latitude.point_wgs84_dd,numeric,-7.37775000,"Latitude in decimal degrees (WGS84, EPSG 4326)"
layer.sequence_usda_uint16,numeric,1,Layer sequence (incremented in depth)
layer.upper.depth_usda_cm,numeric,0.0,Layer top depth in cm
layer.lower.depth_usda_cm,numeric,20.0,Layer bottom depth in cm
observation.date.begin_iso.8601_yyyy.mm.dd,numeric,2011-01-01,Begin date of observation following YYYY-MM-DD format (ISO 8601)
observation.date.end_iso.8601_yyyy.mm.dd,numeric,2013-12-31,End date of observation following YYYY-MM-DD format (ISO 8601)
surveyor.title_utf8_txt,string,L.T.Desta,Field surveyor name or organization
id.project_ascii_txt,string,Africa Soil Information Service (AfSIS-1),Project name
id.location_olc_txt,string,6F4QJMCP+VX,Unique Open Location Code with a precision of 6 decimal places in point coordinates
layer.texture_usda_txt,string,sand,Texture description based on USDA classification
pedon.taxa_usda_txt,string,Typic Kanhaplustalf,Soil classification based on the USDA Keys to Soil Taxonomy
horizon.designation_usda_txt,string,Ap,Soil horizon based on the USDA Keys to Soil Taxonomy
longitude.county_wgs84_dd,numeric,-96.688800,"County centroid, longitude in decimal degrees (WGS84, EPSG 4326)"
latitude.county_wgs84_dd,numeric,40.78446,"County centroid, latitude in decimal degrees (WGS84, EPSG 4326)"
location.point.error_any_m,numeric,30,Approximate point location error in m
location.country_iso.3166_txt,string,NZL,Country code following ISO 3166
observation.ogc.schema.title_ogc_txt,string,Open Soil Spectroscopy Library,Observation OGC schema title
observation.ogc.schema_idn_url,string,https://soilspectroscopy.github.io,Observation OGC schema url
surveyor.contact_ietf_email,string,afsis.info@africasoils.net,Surveyor contact email
surveyor.address_utf8_txt,string,"ICRAF, PO Box 30677, Nairobi, 00100, Kenya",Surveyor or institution address
dataset.title_utf8_txt,string,Africa Soil Information Service (AfSIS-1),Dataset name
dataset.owner_utf8_txt,string,"ICRAF, CROPNUTS, RRES",Name of of organization or person that is the responsible for the dataset
dataset.address_idn_url,string,https://www.isric.org/explore/ISRIC-collections,URL address of the dataset web page
dataset.doi_idf_url,string,https://doi.org/10.1016/j.geodrs.2015.06.002,Digital object identifier (DOI) url of the dataset
dataset.license.title_ascii_txt,string,ODC Open Database License,Dataset license
dataset.license.address_idn_url,string,https://opendatacommons.org/licenses/odbl/,Dataset license url
dataset.contact.name_utf8_txt,string,Keith Shepherd,Dataset contact name
dataset.contact_ietf_email,string,afsis.info@africasoils.net,Dataset contact email
id.dataset.site_ascii_txt,string,203,Site identification
